Назва продукту,"Всього, уп",Адреса клієнта-одержувача,Область України
"Пульмікорт сусп.д/розп. 0,5мг/мл фл. 2мл №20 п/е",1,"м. Бердичів, вул. Маложитомирська, 2/8",Житомирська
"Будесонід Астразенека сусп.д/роз.0,5мг/мл 2мл №20",1,"КФ А-94 м. Козятин, вул. Героїв Майдану, 9",Вінницька
"Симбікорт турбух. пор. дл/інг. 160мкг+4,5мкг 60д",8,"КФ А-82 м. Козятин, вул. Грушевського, 23-А",Вінницька
"Пульмікорт сусп.д/розп. 0,25мг/мл фл. 2мл №20 п/е",1,"КФ А-150 м. Козятин, вул. 8-ма Гвардійська, 55",Вінницька
"Пульмікорт сусп.д/розп. 0,5мг/мл фл. 2мл №20 п/е",1,"КФ А-150 м. Козятин, вул. 8-ма Гвардійська, 55",Вінницька
"Симбікорт турбух. пор. дл/інг. 160мкг+4,5мкг 60д",10,"КФ А-94 м. Козятин, вул. Героїв Майдану, 9",Вінницька
"Симбікорт турбух. пор. дл/інг. 160мкг+4,5мкг 60д",10,"смт Піщанка, вул. Центральна, 42",Вінницька
"Симбікорт турбух. пор. дл/інг. 160мкг+4,5мкг 60д",5,"смт Піщанка, вул. Центральна, 42",Вінницька
"Симбікорт турбух. пор. дл/інг. 160мкг+4,5мкг 60д",10,"КФ А-8 смт Крижопіль, Д.Нечая, 10",Вінницька
"Симбікорт турбух. пор. дл/інг. 160мкг+4,5мкг 60д",40,"Ф-103 м. Вінниця, вул. Хмельницьке шосе, 96-А",Вінницька
"Симбікорт турбух. пор. дл/інг. 80мкг+4,5мкг 60д",3,"Ф-103 м. Вінниця, вул. Хмельницьке шосе, 96-А",Вінницька
Крестор таб. в/о 20мг №28 (14х2) бліст.,2,"Ф-40 м. Вінниця, вул. Хмельницьке шосе, 23",Вінницька
"Симбікорт турбух. пор. дл/інг. 160мкг+4,5мкг 60д",10,"Ф-40 м. Вінниця, вул. Хмельницьке шосе, 23",Вінницька
Крестор таб. в/о 40мг №28 (7х4) бліст.,1,"Ф-12 м. Вінниця, вул. Київська, 68-а",Вінницька
Крестор таб. в/о 20мг №28 (14х2) бліст.,1,"Ф-1 м.Вінниця, пр-т Юності, 71",Вінницька
Крестор таб. в/о 20мг №28 (14х2) бліст.,1,"Ф-108 м. Вінниця, вул. Келецкая, 105",Вінницька
Брилінта таб. п/о 90мг №56 (14х4) бліст.,3,"Ф-12 м. Вінниця, вул. Київська, 68-а",Вінницька
"Пульмікорт сусп.д/розп. 0,25мг/мл фл. 2мл №20 п/е",1,"Ф-29 м. Вінниця, вул. Хмельницьке шосе, 108А",Вінницька
"Пульмікорт сусп.д/розп. 0,5мг/мл фл. 2мл №20 п/е",1,"Ф-29 м. Вінниця, вул. Хмельницьке шосе, 108А",Вінницька
Крестор таб. в/о 10мг №28 (14х2) бліст.,1,"Ф-9 м. Вінниця, вул. Князів Коріатовичів, 184",Вінницька
"Симбікорт турбух. пор. дл/інг. 160мкг+4,5мкг 60д",1,"Ф-17 м. Вінниця, вул. Нечая Д., 164-А",Вінницька
Ксігдуо Пролонг таб.в/о 10мг/1000мг №28(4х7)бліст.,5,"Ф-50 м. Вінниця, вул. Пирогова, 52а",Вінницька
"Симбікорт турбух. пор. дл/інг. 160мкг+4,5мкг 60д",60,"Ф-50 м. Вінниця, вул. Пирогова, 52а",Вінницька
"Симбікорт турбух. пор. дл/інг. 160мкг+4,5мкг 60д",20,"Ф-105 м. Вінниця, вул. Пирогова, 46а",Вінницька
"Будесонід Астразенека сусп.д/роз.0,5мг/мл 2мл №20",10,"Ф-111 с.Лука-Мелешківська, вул.Тиврівське шосе, 2",Вінницька
"Пульмікорт сусп.д/розп. 0,5мг/мл фл. 2мл №20 п/е",1,"Ф-106 м. Вінниця, пр-т. Коцюбинського,35",Вінницька
"Симбікорт турбух. пор. дл/інг. 160мкг+4,5мкг 60д",10,"Ф-23 м. Вінниця, вул. Ватутіна, 35",Вінницька
"Симбікорт турбух. пор. дл/інг. 160мкг+4,5мкг 60д",5,"Ф-2 м.Вінниця, вул.Героїв Сталінграда, 1",Вінницька
"Симбікорт турбух. пор. дл/інг. 160мкг+4,5мкг 60д",5,"Ф-91, м. Вінниця, вул. Волошкова, 9",Вінницька
"Симбікорт турбух. пор. дл/інг. 160мкг+4,5мкг 60д",10,"Ф-106 м. Вінниця, пр-т. Коцюбинського,35",Вінницька
"Симбікорт турбух. пор. дл/інг. 160мкг+4,5мкг 60д",3,"117 Запоріжжя, вул.Новгородська 11",Запоріжська
Крестор таб. в/о 20мг №28 (14х2) бліст.,1,"57 Запоріжжя, вул.Ладозька 14",Запоріжська
"Симбікорт турбух. пор. дл/інг. 160мкг+4,5мкг 60д",2,"117 Запоріжжя, вул.Новгородська 11",Запоріжська
Крестор таб. в/о 20мг №28 (14х2) бліст.,1,"60 Запоріжжя, вул.Чарівна 28",Запоріжська
"Симбікорт турбух. пор. дл/інг. 160мкг+4,5мкг 60д",2,"104 Запоріжжя, вул.Героїв 93-ї бригади 3",Запоріжська
Крестор таб. в/о 20мг №28 (14х2) бліст.,1,"97 Запоріжжя, вул.Українська 57",Запоріжська
"Симбікорт турбух. пор. дл/інг. 160мкг+4,5мкг 60д",2,"ФР_161 Запоріжжя, пр.Соборний 88 Пн,Пт: 8:00 - 16:00 Сб: 8:00 - 13:00",Запоріжська
"Симбікорт турбух. пор. дл/інг. 160мкг+4,5мкг 60д",1,"м. Кременчук, вул. Першотравнева,45",Полтавська
"Симбікорт турбух. пор. дл/інг. 160мкг+4,5мкг 60д",1,"м. Кременчук, пр. Л. Українки, 74",Полтавська
"Симбікорт турбух. пор. дл/інг. 160мкг+4,5мкг 60д",1,"Полтавська обл, м. Кременчук, вул. Приходька Івана, 15",Полтавська
"Симбікорт турбух. пор. дл/інг. 160мкг+4,5мкг 60д",1,"94 Кам'янське, бул.Будівельників 24Г",Дніпропетровська
Крестор таб. в/о 20мг №28 (14х2) бліст.,1,"126 Кам'янське, пр.Металургів 4А",Дніпропетровська
"Симбікорт турбух. пор. дл/інг. 160мкг+4,5мкг 60д",1,"м.Дніпро, вул.Кондратюка Юрія, 1, прим.256 (Аптека №3)",
"Симбікорт турбух. пор. дл/інг. 160мкг+4,5мкг 60д",1,"м. Дніпро, проспект  Нігояна Сергія ,7 б",Дніпропетровська
"Симбікорт турбух. пор. дл/інг. 160мкг+4,5мкг 60д",2,"м.Дніпро, вул.20-річчя Перемоги, 22 (Аптека №1)",
Ксігдуо Пролонг таб. в/о 5мг/1000мг №28(4х7)бліст.,2,"ул. Люстдорфская дорога 69-А, г. Одесса",Одеська
"Симбікорт турбух. пор. дл/інг. 160мкг+4,5мкг 60д",100,"Одеська обл., Комінтернівський р-н, смт Гвардійське, вул.Миру, 6	",Одеська
"Симбікорт турбух. пор. дл/інг. 160мкг+4,5мкг 60д",20,"Одеська обл., Комінтернівський р-н, смт Гвардійське, вул.Миру, 6	",Одеська
"Симбікорт турбух. пор. дл/інг. 160мкг+4,5мкг 60д",5," вул. Лазарєва, 34, м. Одеса",Одеська
Крестор таб. в/о 20мг №28 (14х2) бліст.,2,"А6 м.Одеса, вул.М`ясоєдовська, 33",Одеська
Беталок Зок таб. в/о 100мг №30,1,"А9 м.Одеса, вул.Академіка Корольова, 33",Одеська
Крестор таб. в/о 10мг №28 (14х2) бліст.,1,"вул,Генерала Петрова,80. м.Одеса",Одеська
"Симбікорт турбух. пор. дл/інг. 160мкг+4,5мкг 60д",1,"м.Одеса, вул.Аеропортівська, 29 Аптека №1",Одеська
Крестор таб. в/о 20мг №28 (14х2) бліст.,3,"м.Одеса, вул.Пироговська, 2,ВМКЦ ЦР,військове містечко №11, 1-й поверх будівлі №73(лікув. корпус) ",Одеська
"Симбікорт турбух. пор. дл/інг. 160мкг+4,5мкг 60д",20,"Одеська обл., м.Татарбунари, вул.Центральна, 48, Аптека №1",Одеська
"Пульмікорт сусп.д/розп. 0,5мг/мл фл. 2мл №20 п/е",1,"Одеська обл., Біляївський р-н., с.Великий Дальник, вул.Маяцька дорога,11-А/2 	Аптека №1 ",Одеська
"Симбікорт турбух. пор. дл/інг. 160мкг+4,5мкг 60д",2,"54055 м.Миколаїв, вул. Погранична  80а/1",Миколаївська
"Симбікорт турбух. пор. дл/інг. 160мкг+4,5мкг 60д",4,"Миколаївська обл., м.Южноукраїнськ, пр-т Леніна, 8 (Аптека №6)",Миколаївська
Крестор таб. в/о 40мг №28 (7х4) бліст.,2,"А-6 м. Львів, вул. М. Драгана, 1, (кв.37)",Львівська
Ксігдуо Пролонг таб.в/о 10мг/1000мг №28(4х7)бліст.,3,"П-4 м.Львів, Майорівка, вул. Медової Печери, 1,поліклінічне відділення, 1-й поверх",Львівська
Крестор таб. в/о 20мг №28 (14х2) бліст.,1,"Львівська обл., Золочівський р-н, м.Золочів, вул.Бандери С., 6",Львівська
Крестор таб. в/о 20мг №28 (14х2) бліст.,1,"м.Київ, вул.Л.Толстого 23-25/10, Аптека №1                                     ",
Беталок Зок таб. в/о 100мг №30,1,"м.Київ,бул.Марії Приймаченко,6-А",
"Симбікорт турбух. пор. дл/інг. 160мкг+4,5мкг 60д",1,"м. Київ, вул. Новопирогівська,29",
Крестор таб. в/о 20мг №28 (14х2) бліст.,1,"Аптека №5 ""Медея""   Київська обл., Броварський р-н, с.Рожни, вул.Щорса, 41-б 1412,5",Київська
Крестор таб. в/о 20мг №28 (14х2) бліст.,1,"Аптека №11 ""Медея""  Київська обл., Броварський р-н, с.Пухівка, вул.Центральна, 116, прим.1а 1412,11",Київська
Крестор таб. в/о 20мг №28 (14х2) бліст.,1,"Аптека №11 ""Медея""  Київська обл., Броварський р-н, с.Пухівка, вул.Центральна, 116, прим.1а 1412,11",Київська
"Симбікорт турбух. пор. дл/інг. 160мкг+4,5мкг 60д",5,"Київська обл., Бориспільський р-н, с.Щасливе, вул.Героїв Майдану, 11, оф.62, Аптека №1",Київська
"Симбікорт турбух. пор. дл/інг. 160мкг+4,5мкг 60д",6,"Київська обл., м.Бровари, вул.Ярослава Мудрого (Кірова), 4, Аптека №6 Калина",Київська
"Симбікорт турбух. пор. дл/інг. 160мкг+4,5мкг 60д",10,"м.Київ, вул.Верхня, 5, поверх 1, літ.""А"" блок ""А"", ДНУ ""Науково-практичний центр профілактичної та клінічної медицини"" Державного управління справами",
"Симбікорт турбух. пор. дл/інг. 160мкг+4,5мкг 60д",2,"м.Київ, вул.Братиславська,14 Б  Аптека №6",
"Симбікорт турбух. пор. дл/інг. 160мкг+4,5мкг 60д",2,"м.Київ пр-т Маяковського,15   Аптека № 23",
Ксігдуо Пролонг таб. в/о 5мг/1000мг №28(4х7)бліст.,2,"м.Київ пр-т.Бажана,24/1   Аптека №13",
Ксігдуо Пролонг таб. в/о 5мг/1000мг №28(4х7)бліст.,2,"м.Київ, пр-т Палладіна, 18/30  Аптека №4",
"Симбікорт турбух. пор. дл/інг. 160мкг+4,5мкг 60д",1,"м.Київ пр-т Маяковського,26  Аптека № 7",
"Симбікорт турбух. пор. дл/інг. 160мкг+4,5мкг 60д",1,"м.Київ, вул. Курнатовського, буд. 13",
Крестор таб. в/о 20мг №28 (14х2) бліст.,1,"вул.Краківська, 22 (літера А), м.Київ для  вул.Краківська, 13, корп.головний, м.Київ",
Крестор таб. в/о 20мг №28 (14х2) бліст.,2,"м.Київ, вул.Закревського ,75/2  Аптека №2 ",
Ксігдуо Пролонг таб. в/о 5мг/1000мг №28(4х7)бліст.,1,"вул.Петра Курінного, 2, КНП ""ЦПМСД №3"" м.Києва",
"Пульмікорт сусп.д/розп. 0,25мг/мл фл. 2мл №20 п/е",1,"вул.Чавдар, 1, м.Київ, Аптека №2",
"Пульмікорт сусп.д/розп. 0,25мг/мл фл. 2мл №20 п/е",1,"смт Баришівка, вул. Київський шлях, 126",Київська
"Симбікорт турбух. пор. дл/інг. 160мкг+4,5мкг 60д",6," м.Яготин вул.Незалежності,58  Аптека № 20",Київська
"Симбікорт турбух. пор. дл/інг. 160мкг+4,5мкг 60д",1,",Київськой обл. м.Біла Церква, вул.Ярослава Мудрого, 64/2",Київська
"Симбікорт турбух. пор. дл/інг. 160мкг+4,5мкг 60д",3,"Київська обл.,м.Обухів,вул.Каштанова,52,КНП Обухівської райради""Обухівська ЦРЛ"",терапевт,Апт.п.№1",Київська
"Пульмікорт сусп.д/розп. 0,25мг/мл фл. 2мл №20 п/е",1,"смт Борова,  Київська обл, Фастівський р-н, вул. Миру, 10",Київська
"Симбікорт турбух. пор. дл/інг. 160мкг+4,5мкг 60д",12,"Київ.обл.Обухівський р-н,м.Українка,вул.Київська,1,КНПОбухів.райради""Обухів.ЦРЛ"",полікл№2,Апт.п.№4",Київська
"Симбікорт турбух. пор. дл/інг. 160мкг+4,5мкг 60д",2,"вул.Армійська, 4-к, смт Володарка, Київська обл. Аптека №3",Київська
"Симбікорт турбух. пор. дл/інг. 160мкг+4,5мкг 60д",1,"Черкаська обл, м. Жашків, вул. Соборна, 40",Черкаська
"Пульмікорт сусп.д/розп. 0,25мг/мл фл. 2мл №20 п/е",1,"КА-141 м.Монастирище, вул.Соборна, 111",Черкаська
"Симбікорт турбух. пор. дл/інг. 160мкг+4,5мкг 60д",4,"КА-66 м. Бар, вул. Каштанова, 5, прим.1",Вінницька
Беталок Зок таб. в/о 25мг №14,2,"м. Бар, вул. Героїв Майдану, 32",Вінницька
"Симбікорт турбух. пор. дл/інг. 160мкг+4,5мкг 60д",6,"КА-45 м. Шаргород, вул. Героїв Майдану, 268-Б",Вінницька
"Симбікорт турбух. пор. дл/інг. 160мкг+4,5мкг 60д",10,"КА-31 м. Могилів-Подільський, вул. Стависька, 65",Вінницька
"Симбікорт турбух. пор. дл/інг. 160мкг+4,5мкг 60д",5,"КА-54 м. Ямпіль, вул. Свободи, 81/49-А",Вінницька
"Симбікорт турбух. пор. дл/інг. 160мкг+4,5мкг 60д",4,"КА-48 смт Чернівці, вул.Святомиколаївська, 99",Вінницька
"Симбікорт турбух. пор. дл/інг. 80мкг+4,5мкг 60д",2,"КА-48 смт Чернівці, вул.Святомиколаївська, 99",Вінницька
"Пульмікорт сусп.д/розп. 0,5мг/мл фл. 2мл №20 п/е",1,"КФ А-5 Вінницька обл., м.Гайсин, Соборна 34-К",Вінницька
"Симбікорт турбух. пор. дл/інг. 160мкг+4,5мкг 60д",6,"КА-68 смт Оратів, вул. Героїв Майдану, 105А",Вінницька
"Симбікорт турбух. пор. дл/інг. 80мкг+4,5мкг 60д",3,"КА-73 смт Турбів, вул. Маяковського, 2",Вінницька
"Симбікорт турбух. пор. дл/інг. 160мкг+4,5мкг 60д",4,"КФ А-5 Вінницька обл., м.Гайсин, Соборна 34-К",Вінницька
Брилінта таб. п/о 90мг №56 (14х4) бліст.,1,"КА-73 смт Турбів, вул. Маяковського, 2",Вінницька
Крестор таб. в/о 40мг №28 (7х4) бліст.,1,"КФ А-58 м. Іллінці, вул. Європейська, 12",Вінницька
"Симбікорт турбух. пор. дл/інг. 160мкг+4,5мкг 60д",1,"КФ А-36 м. Липовець, вул. Василя Липківського, 32",Вінницька
"Симбікорт турбух. пор. дл/інг. 160мкг+4,5мкг 60д",6,"КА-86 смт Літин, вул. Соборна, 26",Вінницька
Ксігдуо Пролонг таб.в/о 10мг/1000мг №28(4х7)бліст.,1,"КФ А-98 м. Хмільник, проспект Свободи, 4",Вінницька
"Пульмікорт сусп.д/розп. 0,5мг/мл фл. 2мл №20 п/е",3,"Ф-40 м. Вінниця, вул. Хмельницьке шосе, 23",Вінницька
"Симбікорт турбух. пор. дл/інг. 160мкг+4,5мкг 60д",3,"Ф-108 м. Вінниця, вул. Келецкая, 105",Вінницька
Беталок Зок таб. в/о 25мг №14,1,"Ф-17 м. Вінниця, вул. Нечая Д., 164-А",Вінницька
"Пульмікорт сусп.д/розп. 0,5мг/мл фл. 2мл №20 п/е",2,"Ф-17 м. Вінниця, вул. Нечая Д., 164-А",Вінницька
"Симбікорт турбух. пор. дл/інг. 160мкг+4,5мкг 60д",15,"Ф-111 с.Лука-Мелешківська, вул.Тиврівське шосе, 2",Вінницька
"Симбікорт турбух. пор. дл/інг. 160мкг+4,5мкг 60д",2,"Ф-9 м. Вінниця, вул. Князів Коріатовичів, 184",Вінницька
"Пульмікорт сусп.д/розп. 0,5мг/мл фл. 2мл №20 п/е",1,"Ф-101 м. Вінниця, вул. Соборна, 84",Вінницька
"Будесонід Астразенека сусп.д/роз.0,5мг/мл 2мл №20",1,"Ф-21 м. Вінниця, вул. Миколаївська, 2",Вінницька
"Пульмікорт сусп.д/розп. 0,5мг/мл фл. 2мл №20 п/е",1,"Ф-78. Вінниця, вул. Липовецька, 6А",Вінницька
Беталок Зок таб. в/о 100мг №30,1,"Ф-2 м.Вінниця, вул.Героїв Сталінграда, 1",Вінницька
Пульмікорт турбухалер пор. д/інг.100мкг 200доз,1,"Ф-2 м.Вінниця, вул.Героїв Сталінграда, 1",Вінницька
"Симбікорт турбух. пор. дл/інг. 160мкг+4,5мкг 60д",1,"Ф-4 м.Вінниця, вул.Замостянська, 4",Вінницька
Беталок Зок таб. в/о 25мг №14,1,"Ф-124 м. Вінниця, Олега Антонова, 13-В, корп.2, прим.99",Вінницька
"Пульмікорт сусп.д/розп. 0,25мг/мл фл. 2мл №20 п/е",1,"Кіровоградська обл., смт Устинівка, вул.Ювілейна, 14,Аптека №5 ""Берегиня""",Кіровоградська
"Симбікорт турбух. пор. дл/інг. 80мкг+4,5мкг 60д",2,"Аптека №11  м.Павлоград, вул.Соборна,97А   Аптека №11",Дніпропетровська
"Симбікорт турбух. пор. дл/інг. 80мкг+4,5мкг 60д",1,"А/п №1  апт №6  м.Перещепине, вул.Шевченка,31  ",Дніпропетровська
"Симбікорт турбух. пор. дл/інг. 160мкг+4,5мкг 60д",215,"Закарпатська область, м. Хуст, вул. Небесної Сотні, 122-124/28",Закарпатська
"Симбікорт турбух. пор. дл/інг. 80мкг+4,5мкг 60д",30,"Закарпатська область, м. Хуст, вул. Небесної Сотні, 122-124/28",Закарпатська
"Симбікорт турбух. пор. дл/інг. 160мкг+4,5мкг 60д",13,"Закарпатська область, м. Хуст, вул. Небесної Сотні, 122-124/28",Закарпатська
Беталок Зок таб. в/о 100мг №30,10,"Закарпатська область, м. Хуст, вул. Небесної Сотні, 122-124/28",Закарпатська
"Симбікорт турбух. пор. дл/інг. 160мкг+4,5мкг 60д",6,"КФ А-77 Івано-Франківська обл., м.Снятин, вул.Шевченка, 143/1",Івано-Франківська
Крестор таб. в/о 10мг №28 (14х2) бліст.,1,"Івано-Франківська обл., Яремчанська міська рада, с.Поляниця, участок Щивки, 1, прим.4(Аптека №2)",Івано-Франківська
"Пульмікорт сусп.д/розп. 0,5мг/мл фл. 2мл №20 п/е",1,"Чернівецька обл., Глибоцький р-н, с.Коровія, вул.Першотравнева, 2А, Аптека №1",Чернівецька
"Симбікорт турбух. пор. дл/інг. 160мкг+4,5мкг 60д",4,"м. Новодністровськ, квартал 4, буд. 27",Чернівецька
Крестор таб. в/о 20мг №28 (14х2) бліст.,10,"ул. Люстдорфская дорога 69-А, г. Одесса",Одеська
Крестор таб. в/о 40мг №28 (7х4) бліст.,2,"ул. Люстдорфская дорога 69-А, г. Одесса",Одеська
Крестор таб. в/о 40мг №28 (7х4) бліст.,1,"Ф-50 м. Вінниця, вул. Пирогова, 52а",Вінницька
"Симбікорт турбух. пор. дл/інг. 160мкг+4,5мкг 60д",3,"Тернопільська обл., м. Збараж, Майдан Франка І., 34""І""",Тернопільська
"Симбікорт турбух. пор. дл/інг. 160мкг+4,5мкг 60д",3,"А-7 Львівська обл., м. Яворів, площа Ринок, 4",Львівська
"Симбікорт турбух. пор. дл/інг. 160мкг+4,5мкг 60д",6,"А-59 Львівська обл., Яворівський р-н,  смт. Ів.Франкове, пл.Ринок,4",Львівська
"Симбікорт турбух. пор. дл/інг. 160мкг+4,5мкг 60д",1,"А-12 Львівська обл., м. Яворів, вул. Маковея О., 66, прим. 21",Львівська
Крестор таб. в/о 20мг №28 (14х2) бліст.,1,"А-59 Львівська обл., Яворівський р-н,  смт. Ів.Франкове, пл.Ринок,4",Львівська
Ксігдуо Пролонг таб.в/о 10мг/1000мг №28(4х7)бліст.,2,"П-9 Львівська обл., Яворівський р-н.. м. Новояворівськ, вул. Шевченка,18, КНП""Новояворівстка лікарня ім. Ю. Липи""НМР,поліклінічне відділення,1-й пов",Львівська
"Симбікорт турбух. пор. дл/інг. 160мкг+4,5мкг 60д",3,"А-14 Львівська обл., с. Лапаївка, вул. Геофізиків, 12",Львівська
"Симбікорт турбух. пор. дл/інг. 160мкг+4,5мкг 60д",1,"А-6 Львівська обл, Львівський р-н, смт Рудне, вул. Володимира Великого, 2",Львівська
"Симбікорт турбух. пор. дл/інг. 160мкг+4,5мкг 60д",3,"А-65 Львівська обл., Стрийський р-н., м. Ходорів, вул. Грушевського М., 65",Львівська
"Симбікорт турбух. пор. дл/інг. 160мкг+4,5мкг 60д",5,"А-60 Львівська обл., Стрийський р-н., м. Ходорів, вул. Грушевського М., 57",Львівська
"Симбікорт турбух. пор. дл/інг. 160мкг+4,5мкг 60д",2,"А-5 Львівська, обл, Стрийський р-н, м. Жидачів, вул. Кобзарева, 3",Львівська
"Симбікорт турбух. пор. дл/інг. 160мкг+4,5мкг 60д",2,"А-20 Львівська обл., Стрийський р-н., м. Жидачів, вул. Грушевського М., 41/8",Львівська
"Симбікорт турбух. пор. дл/інг. 160мкг+4,5мкг 60д",3,"А-37 Львівська обл. м.Миколаїв вул.Шептицького,15",Львівська
"Симбікорт турбух. пор. дл/інг. 160мкг+4,5мкг 60д",2,"П-13 Львіська обл., м. Стрий, вул. О. Басараб, 15 , КНП СМР ""Стрийська ЦРЛ"" , 4-й поверх",Львівська
"Симбікорт турбух. пор. дл/інг. 160мкг+4,5мкг 60д",3,"А-33 Львівська обл., м. Стрий, вул. Хмельницького Б., 12/2",Львівська
"Симбікорт турбух. пор. дл/інг. 160мкг+4,5мкг 60д",5,"А-22 Львівська обл., м. Городок, вул. Перемишльська, 3",Львівська
Крестор таб. в/о 20мг №28 (14х2) бліст.,1,"А-10 Львіська обл., Яворівський р-н.. м. Мостиська, пл. Ринок, 13",Львівська
"Пульмікорт сусп.д/розп. 0,5мг/мл фл. 2мл №20 п/е",1,"Львівська обл., Старосамбірський р-н, м.Хирів, площа Галицька, 1, кв.5",Львівська
"Пульмікорт сусп.д/розп. 0,5мг/мл фл. 2мл №20 п/е",1,"Київ, проспект Голосіївський б. 102/1",
"Симбікорт турбух. пор. дл/інг. 80мкг+4,5мкг 60д",1,"м.Київ вул.Світлицького,29/18  Аптека №17",
Крестор таб. в/о 40мг №28 (7х4) бліст.,1,"вул.Північна, 6-В, м.Київ. Аптека №1 Калина",
Ксігдуо Пролонг таб. в/о 5мг/1000мг №28(4х7)бліст.,3,"вул.Північна, 6-В, м.Київ. Аптека №1 Калина",
Крестор таб. в/о 20мг №28 (14х2) бліст.,1,"с. Стоянка, вул. Дачна, 1-Б, Києво-Святошинський р-н",Київська
"Пульмікорт сусп.д/розп. 0,5мг/мл фл. 2мл №20 п/е",1,"с. Стоянка, вул. Дачна, 1-Б, Києво-Святошинський р-н",Київська
"Симбікорт турбух. пор. дл/інг. 160мкг+4,5мкг 60д",10,"Рівненська обл., м. Березне, вул. Буховича М., 15 А",Рівненська
"Пульмікорт сусп.д/розп. 0,5мг/мл фл. 2мл №20 п/е",1,"КФ А-126 Житомирська обл., Олевський р-н, с.Жубровичі, вул.Шевченка, 9А",Житомирська
Брилінта таб. п/о 90мг №56 (14х4) бліст.,1,"смт Зарічне, вул. Центральна, 6-А",Рівненська
Крестор таб. в/о 20мг №28 (14х2) бліст.,1,"Рівненська обл., смт Гоща, вул. Незалежності, 72 б",Рівненська
Брилінта таб. п/о 90мг №56 (14х4) бліст.,2,"КФ А-109 Житомирська обл., Баранівський р-н, м.Баранівка, вул.Соборна, 2-А",Житомирська
Беталок Зок таб. в/о 50мг №30,1,"КФ А-22 м.Чуднів, вул.Героїв Майдану, 167-Б/2",Житомирська
"Симбікорт турбух. пор. дл/інг. 160мкг+4,5мкг 60д",3,"КФ А-22 м.Чуднів, вул.Героїв Майдану, 167-Б/2",Житомирська
"Пульмікорт сусп.д/розп. 0,25мг/мл фл. 2мл №20 п/е",1,"м. Полонне, вул. Л.Українки, 168",Хмельницька
"Пульмікорт сусп.д/розп. 0,5мг/мл фл. 2мл №20 п/е",1,"КА-59 смт Тростянець, вул. Соборна, 50-А",Вінницька
"Будесонід Астразенека сусп.д/роз.0,5мг/мл 2мл №20",2,"КФ А-7 м.Тульчин, вул.Леонтовича, 108",Вінницька
Брилінта таб. п/о 90мг №56 (14х4) бліст.,1,"смт Теплик, вул. Незалежності, 31",Вінницька
"Симбікорт турбух. пор. дл/інг. 160мкг+4,5мкг 60д",10,"КА-53 м. Бершадь, вул. Ярослава Мудрого, 16-А",Вінницька
"Симбікорт турбух. пор. дл/інг. 160мкг+4,5мкг 60д",10,"КФ А-88 смт Крижопіль, вул. Героїв України, 51",Вінницька
"Симбікорт турбух. пор. дл/інг. 160мкг+4,5мкг 60д",6,"КФ А-88 смт Крижопіль, вул. Героїв України, 51",Вінницька
"Симбікорт турбух. пор. дл/інг. 160мкг+4,5мкг 60д",3,"смт Томашпіль, вул. Кирила Стеценка, 5",Вінницька
"Пульмікорт сусп.д/розп. 0,5мг/мл фл. 2мл №20 п/е",1,"м. Вінниця, вул. Хмельницьке шосе, 75",Вінницька
"Симбікорт турбух. пор. дл/інг. 80мкг+4,5мкг 60д",1,"Ф-128, м. Вінниця, вул. Павла Алепського, 1-А",Вінницька
"Пульмікорт сусп.д/розп. 0,5мг/мл фл. 2мл №20 п/е",2,"Ф-21 м. Вінниця, вул. Миколаївська, 2",Вінницька
"Симбікорт турбух. пор. дл/інг. 160мкг+4,5мкг 60д",4,"Ф-34 м. Вінниця, вул. Ю.Смірнова 23, / 1-й пр.Український, 6",Вінницька
"Симбікорт турбух. пор. дл/інг. 80мкг+4,5мкг 60д",1,"Ф-21 м. Вінниця, вул. Миколаївська, 2",Вінницька
"Симбікорт турбух. пор. дл/інг. 160мкг+4,5мкг 60д",10,"Ф-2 м.Вінниця, вул.Героїв Сталінграда, 1",Вінницька
Ксігдуо Пролонг таб.в/о 10мг/1000мг №28(4х7)бліст.,1,"КФ А-100 Кіровоградська обл., смт Голованівськ, вул.Ринкова, 4-А",Кіровоградська
Ксігдуо Пролонг таб.в/о 10мг/1000мг №28(4х7)бліст.,3,"м.Київ, пр-т В.Порика, 3  Аптека №3",
"Симбікорт турбух. пор. дл/інг. 80мкг+4,5мкг 60д",3,"м.Київ пр-т. Свободи,26 В  Аптека №15",
"Симбікорт турбух. пор. дл/інг. 80мкг+4,5мкг 60д",1,"м.Київ вул.Сабурова,3  Аптека №10",
Крестор таб. в/о 20мг №28 (14х2) бліст.,1,"Київська обл., м.Переяслав-Хмельницький, вул.Грушевського, 49 а (Аптека №1)",Київська
"Пульмікорт сусп.д/розп. 0,5мг/мл фл. 2мл №20 п/е",1,"м. Хмельницький, вул. Хотовицького, 7",Хмельницька
"Будесонід Астразенека сусп.д/роз.0,5мг/мл 2мл №20",1,"КА-132 смт Маньківка, вул.Благодатна, б.2/4, прим.1",Черкаська
Брилінта таб. п/о 90мг №56 (14х4) бліст.,1,"смт Борова,  Київська обл, Фастівський р-н, вул. Миру, 10",Київська
Беталок Зок таб. в/о 50мг №30,1,"КФ А-96 Житомирська обл., смт Черняхів, вул.Володимирська, 3",Житомирська
Комбогліза XR таб. в/о 5мг/1000мг №28 (7х4)бліст,1,"Ф-50 м. Вінниця, вул. Пирогова, 52а",Вінницька
